1,bulbasaur,,1,16,7,69,green,quadruped,1,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,24/01/18 06:11,24/01/18 06:11
2,ivysaur,1,1,32,10,130,green,quadruped,2,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,24/01/18 06:11,24/01/18 06:11
3,venusaur,2,1,16,20,1000,green,quadruped,3,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,24/01/18 06:11,24/01/18 06:11
4,charmander,,2,36,6,85,red,upright,4,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,24/01/18 06:11,24/01/18 06:11
5,charmeleon,4,2,16,11,190,red,upright,5,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,24/01/18 06:11,24/01/18 06:11
6,charizard,5,2,36,17,905,red,upright,6,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,24/01/18 06:11,24/01/18 06:11
7,squirtle,,3,7,5,90,blue,upright,7,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,24/01/18 06:11,24/01/18 06:11
8,wartortle,7,3,10,10,225,blue,upright,8,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,24/01/18 06:11,24/01/18 06:11
9,blastoise,8,3,7,16,855,blue,upright,9,45,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,24/01/18 06:11,24/01/18 06:11
10,caterpie,,4,10,3,29,green,armor,10,255,medium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,24/01/18 06:11,24/01/18 06:11
11,metapod,10,4,18,7,99,green,squiggle,11,120,medium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,24/01/18 06:11,24/01/18 06:11
12,butterfree,11,4,36,11,320,white,bug-wings,12,45,medium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,24/01/18 06:11,24/01/18 06:11
13,weedle,,5,20,3,32,brown,armor,13,255,medium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,24/01/18 06:11,24/01/18 06:11
14,kakuna,13,5,20,6,100,yellow,squiggle,14,120,medium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,24/01/18 06:11,24/01/18 06:11
15,beedrill,14,5,22,10,295,yellow,bug-wings,15,45,medium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,24/01/18 06:11,24/01/18 06:11
16,pidgey,,6,,3,18,brown,wings,16,255,medium-slow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,24/01/18 06:11,24/01/18 06:11
